question,answer
What is fee to get urgent DMC ?," Fee for final DMC is Rs. 1000/- and for incomplete DMC is Rs. 300/-, Urgent DMC is not issued, normal DMC is issued in 3 working days"
What is fee to get normal DMC?, For final DMC is Rs. 1000/- and for incomplete DMC is Rs. 300/-
What is fee for incomplete DMC?,Fee for final DMS is Rs 300/- 
How to pay fee for DMC?,"Online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), "
What is account number to pay DMC fee?," (Account No: 01287901582203, Title: Student Dues UET, LHR),"
Where to submit DMC form?," Submit form for DMC in window number 1 of Examinations Branch, 2nd floor, Admin Block, UET, Lahore."
Is there anyway how to get DMC right now?,Urgent DMC is not issued.
Can somebody else receive my DMC?,"Yes, somebody else can receive your DMC by showing fee challan number 2  or ID card copy of student."
"Which challan to attach with DMC, i.e challan no. 1 or 2? ",Attach challan number 1 with DMC. 
Can we get DMC by post?,DMC can be received from examinations branch by hand only.
How to get degree?,"
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture
4)	Attach copy of provisional Certificate
5)	Attach matric/O level certificate copy
6)	Attach copy of Thesis notification (for postgraduate students only)
7)	Apply in Examinations Branch window number 1, degree is prepared in 40 days,
Note:-  students of affiliated colleges  need to attach covering letter  issued by their college. 
What documents are required to attach with Degree"
What documents are required to attach to apply for Degree?,"
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture
4)	Attach copy of provisional Certificate
5)	Attach matric/O level certificate copy
6)	Attach copy of Thesis notification (for postgraduate students only)
7)	Apply in Examinations Branch window number 1, degree is prepared in 40 days,
Note:-  students of affiliated colleges  need to attach covering letter  issued by their college. "
In how many days I can get my Degree?,Degree is issued in 40 days
What is fee for Degree?,Fee for degree is Rs. 1000/-.
What is fee to get urgent Degree?,"Degree is issued in 40 days, urgent degree is not issued."
How to pay fee for Degree?,"Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR),"
What is account number to pay Degree fee?,"(Account No: 01287901582203, Title: Student Dues UET, LHR),"
Where to submit Degree form?,Submit degree form in window number 1 of Examinations Branch.
Is there anyway how to get Degree right now OR I can get degree urgent?,"Degree is issued in 40 days, urgent degree is not issued."
Can somebody else receive my Degree?,"It is advised to receive degree by student himself, however, in case student is not available in country, he can authorize his parents/siblings to receive his degree by following procedure below:
1)	write an authority letter on stamp paper of Rs 50/- with registration number, name, father name, signatures and names of student and authorized person to collect degree.
2)	Attested ID card copies of student and authorized person.
3)	Show original ID card of authorized person"
How to write authority letter to received degree ( if somebody else receives degree instead of student)?,"It is advised to receive degree by student himself, however, in case student is not available in country, he can authorize his parents/siblings to receive his degree by following procedure below:
1)	write an authority letter on stamp paper of Rs 50/- with registration number, name, father name, signatures and names of student and authorized person to collect degree.
2)	Attested ID card copies of student and authorized person.
3)	Show original ID card of authorized person"
Which documents are required for applying authority letter to receive degree?,"1)	Attested ID card copies of student and authorized person.
2)	Show original ID card of authorized person"
"Which challan to attach with Degree, i.e challan no. 1 or 2?",Attach challan number 1 for degree.
Can we get Degree by post?,"No, degree is issued by hand only."
For how much amount stamp paper will be used for authority letter?,Challan Rs. 50 is used for authority letter for degree.
Can we get duplicate degree?,"In case the original degree is lost, duplicate degree can be issued."
Where we will apply for duplicate degree?,"Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
In how many days duplicate degree will issue? ,Duplicate degree is issue within 10 days.
What is procedure to get duplicate degree?,"In case the original degree is lost, duplicate degree can be issued, procedure is given below:
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture.
4)	Attach copy of provisional Certificate.
5)	Attach matric/O level certificate copy.
6)	Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number.
7)	Attach stamp paper of Rs. 50 and write on it your name, father name, registration number, and statement  that if original degree is found at any stage you will return original degree to examinations branch of university.
8)	 Attach ad in any reputable newspaper for the loss of your degree, ad must contain your name,  father name and registration number
9)	Attach copy of Thesis notification (for postgraduate students only)
 Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
What documents are required for duplicate degree?,"In case the original degree is lost, duplicate degree can be issued, procedure is given below:
1)	Attach DMC/degree form, get it signed from students' section
2)	Attach challan of Rs. 1000/- online Challan from LMS account can be generated or bank deposit slip can be used. (Account No: 01287901582203, Title: Student Dues UET, LHR), 
3)	Attach 1 passport size picture.
4)	Attach copy of provisional Certificate.
5)	Attach matric/O level certificate copy.
6)	Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number.
7)	Attach stamp paper of Rs. 50 and write on it your name, father name, registration number, and statement  that if original degree is found at any stage you will return original degree to examinations branch of university.
8)	 Attach ad in any reputable newspaper for the loss of your degree, ad must contain your name,  father name and registration number
9)	Attach copy of Thesis notification (for postgraduate students only)
 Apply in Examinations Branch window number 1, duplicate degree is issue within 10 days"
"What should be written on police report, newspaper ad for duplicate degree?","Attach original report of police station for the loss of degree, report must contain your name,  father name and registration number."
In how many days I can get duplicate degree?,Duplicate degree is issue within 10 days.
What is minimum degree duration for undergraduate program/B.Sc program?,Minimum degree duration for undergraduate program/B.Sc program is 4 years.
What is minimum degree duration for postgraduate program/M.Sc./MPhil programs?,Chart is given on prospectus.
What is minimum degree duration for Ph.D. programs?,Minimum degree duration for Ph.D. program is 3 years.
What is minimum degree duration for MBA programs?,Chart is given on prospectus.
What is Maximum degree duration for undergraduate program/B.Sc programs.,Maximum degree duration for under  undergraduate program/B.Sc programs is 6 years.
What is Maximum degree duration for postgraduate program/M.Sc./MPhil program?,Chart is given on prospectus. 
What is Maximum degree duration for Ph.D. program?,Maximum degree duration for Ph.D. programs is 5 years. 
What is Maximum degree duration for MBA programs?,Chart is given on prospectus. 
Can I get degree without paying all outstanding dues?,No. 
How many days will it take to confirm our result ?,Your result will be confirmed upon submission of result by your teachers via online and in hard form in Examinations Branch. 
"My result status is still provisional, who will confirm it?",Your result will be confirmed upon submission of result by your teachers via online and in hard form in Examinations Branch.
"There is come mistake in counting/computation of my CGPA, who will correct it?","In case of any issue regarding computation of GPA/CGPA, contact Examinations Branch 2nd floor Admin Block 04299029235. "
"There is some mistake in counting of my credit hours, who will correct it?","In case of any issue regarding credit hours, contact Examinations Branch 2nd floor Admin Block 04299029235"
How many days will it take to reach my comprehensive result notification from exams branch to students’ sections?,It usually takes 3 to 4 days for comprehensive result to reach from Exams branch to students section after completing formalities.
PEC has not received My comprehensive result notification; I need it to register with PEC?,"In case your comprehensive result notification/result gazette  is not received by PEC, then you can email at examination@uet.edu.pk with your registration number or contact 04299029235."
What is rule if I get lower grade than my previous grade?,"In case a student gets lower grade than previous grade, the latest grade will be counted . "
What is minimum CGPA required to continue studies at UET?,A student needs to maintain at least 2.000 CGPA to continue studies/to avoid from separation from university. (rules here).
What is minimum CGPA required to pass the undergraduate/B.Sc degree?,Minimum 2.000 CGPA is required to pass undergraduate/B.Sc degree. 
What is minimum CGPA required to pass the postgraduate/M.Sc./MS/M.Phil. degree?,Minimum 2.500 CGPA is required to pass postgraduate/M.Sc./MS/M.Phil. degree. 
What is minimum CGPA required to pass the Ph.D. degree?,Minimum 3.300 CGPA is required to pass Ph.D. degree. 
Will WF grade be counted towards CGPA?,WF grade is not counted towards CGPA. 
Will W grade be counted towards CGPA?,W grade is not counted towards CGPA. 
Will I grade be counted towards CGPA?,I' grade is not counted towards CGPA. 
Will IP grade be counted towards CGPA?,IP grade is not counted towards CGPA. 
What is minimum attendance required in a subject?,Minimum 75% attendance is required in a subject to pass.
Will my approved leave be counted towards shortage of attendance?,Approved leave is not counted towards shortage of attendance. 
What is minimum attendance percentage required for the award of I grade?,Minimum 50% attendance is required for the award of I grade.
Can  I improve only theory part?,Student can improve/repeat only theory or only lab part depending upon his choice
When subject registration will open?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How many maximum credit hours I can register at undergraduate level?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit hours I can register at post graduate level?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit hours I can register in regular semester?,"At undergraduate level, a 1st or 2nd student can register maximum of 18 credit hours, from 3rd year onward, student can register maximum of 21 credit hours on LMS. 
At postgraduate level, student can register maximum of 12 credit hours during a semester."
How many maximum credit hours I can register in summer?,Maximum of 8 credit hours can be registered in summer. 
"I have registered that particular subject on LMS, but it is not showing in registered subjects list? ","In case of any subject registration problem contact your departmental LMS coordinator, if problem is not resolved then contact Examinations Branch, 2nd floor Admin block 04299029235"
"I did not register that subject, but it is automatically registered? ","In case of any subject registration problem contact your departmental LMS coordinator, if problem is not resolved then contact Examinations Branch, 2nd floor Admin block 04299029235"
"My registered subjects have been removed from LMS due to nonpayment of dues, how can I register again after payment of dues?","In case your subjects have removed due to nonpayment of dues, contact Examinations Branch, 2nd floor Admin block 04299029235"
"If there is timetable clash between two subjects, then how can I register both subjects?",You cannot register two subjects in case of timetable clash.
I have cleared pre-requisite subject; can I register in advanced subject?,"In case a student has passed pre-requisite, then he can register in advanced subject."
What are minimum number of students required to get registered for a subject to offer in summer?,"Minimum 5 students should be registered in a subject in summer to continue, otherwise subject will be withdrawn."
What if minimum number of students do not register in subject in summer?,"Minimum 5 students should be registered in a subject in summer to continue, otherwise subject will be withdrawn."
What is rule to drop a subject?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How I can drop any regesterd subject?,"Subject registration is usually opened on the 1st day of semester start and continues for 2 weeks, students can add/drop courses during this period."
How to get percentage equivalence certificate?,"To apply for percentage equivalence certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare percentage equivalence certificate. 
"
What documents are required to attach for percentage equivalence certificate?,"To apply for percentage equivalence certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare percentage equivalence certificate. 
"
What is fee for percentage equivalence certificate?,Fee for percentage certificate is Rs. 500/-
How many days it will take to get percentage equivalence certificate?,It takes 3 working days to prepare percentage equivalence certificate. 
How to get regular Bonafide certificate?,"To apply for regular bonafide certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare regular bonafide certificate"
What documents are required to attach for regular bonafide certificate?,"To apply for regular bonafide certificate, get DMC form, attach DMC copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare regular bonafide certificate."
What is fee for regular bonafide certificate?,Fee for regular bonafide certificate is Rs. 500/-
How many days it will take to get regular bonafide certificate?,It takes 3 working days to prepare regular bonafide certificate. 
How to get embassy bonafide certificate?,"To apply for embassy bonafide certificate, get DMC form, attach DMC and degree copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare embassy bonafide certificate"
What documents are required to attach for embassy bonafide certificate?,"To apply for embassy bonafide certificate, get DMC form, attach DMC and degree copy and  original challan of Rs. 500/- and apply in Examinations Branch, 2nd floor Admin block 04299029235, it takes 3 working days to prepare embassy bonafide certificate."
What is fee for embassy Bonafide certificate?,Fee for embassy bonafide certificate is Rs. 500/-
How many days it will take to get embassy Bonafied certificate?,It takes 3 working days to prepare embassy bonafide certificate. 
"I have been re-admitted, how to get new LMS username and password?","After re-admission, get your new username and password from Examinations Branch 2nd floor Admin block 04299029235 by showing your re-admission letter."
How can I register my subjects after readmission ?,"After re-admission, register your subjects by login in to LMS, in case of any issue, contact Examinations Branch 2nd floor Admin block 04299029235"
Which grades will be transferred in my new DMC after readmission?,"C grade or above will be transferred in new DMC after re-admission.
"
Can I get second time re-admission?,Second time re-admission is not allowed.
What is rule for discipline change?,Contact convener office for discipline change (contact number here)
What is ruled to get extension?,For extension apply to the Convener Admission Committee office by writing a simple application duly signed and forwarded by your HOD.
How can I get extension?,For extension apply to the Convener Admission Committee office by writing a simple application duly signed and forwarded by your HOD.
Who is the authority to grant extension?,Convener Admission Committee is the authority to grant extension.
How much extension can I get at one time?,You can get maximum 1-year extension at a time.
Will my admission be cancelled If I don’t get further extension?,"If you don’t get further extension, your admission will be cancelled. "
Will I be granted second time extension ?,Second time extension may be granted if approved by concerned authorities.
What are credit hours requirements for undergraduate/B.Sc degree programs?,Minim of 130 and Maximum 136 credit hours are required for the award of undergraduate degree as prescribed for every degree program.
What are credit hours requirements for postgraduate/M.Sc./M. Phil degree programs?,"30 credit hours are required for the award  of /M.Sc./M. Phil degree programs, either 24 credit hours of course work with thesis of 6 credit hours or 30 credit hours of course work with design project of 0 credit hours. "
What are credit hours requirements for PhD degree programs? ,"60 credit hours are required for the award of PhD/Doctor of Philosophy degree program, 18 credit hours of course work and 42 credit hours for thesis. "
How can I get my degree/DMC verified?,"Student can apply for degree/DMC verification in Examinations Branch. 
a)	Attach DMC form
b)	Attach Challan for Rs. 500/- per document
c)	Attach copy of DMC"
What is fee for degree/DMC verification?,Fee for degree/DMC verification is Rs. 500/-
How to pay fee?,"Print Challan from LMS account or use HBL deposit slip(account No. 01287901582203, Title: Student Dues UET, LHR)"
"If there is change in my name/father name, then how can I get revised degree/DMC?","Before getting final DMC, you can get your name/father name corrected from Examinations Branch by showing original matric certificate, but after getting final DMC/degree, get your name/father name corrected on matric and intermediate and then from students section of UET, Lahore, in the end you can contact examinations branch ."
How many days it will take to verify my degree/DMC?,Usually 3 days are required for degree/DMC verification.
How can a company/Institution send degree/DMC for verification?,A company/Institution can get degree/DMC verified by sending a letter to the University on their letter head. They need to pay fee of Rs. 1000/- per document as verification fee.
How can I get my degree/DMC verified from abroad?,"Degree/DMC copy can be verified from abroad by sending an email at examination@uet.edu.pk with fee of US $ 50 per document.
The documents will be verified after receiving fee acknowledgement.

Detail of University Bank Account is:

Name of Bank       :   Habib Bank Limited, Pakistan
Title                       :   Student Dues
Name of Branch   :   Engineering University
Branch Code         :  0128
Swift Code             :   HABBPKKA007
IBAN Code            :   PK23 HABB 0001 2879 0158 2203"
What is the detail of university bank account?,"Detail of University Bank Account is:

Name of Bank       :   Habib Bank Limited, Pakistan
Title                       :   Student Dues
Name of Branch   :   Engineering University
Branch Code         :  0128
Swift Code             :   HABBPKKA007
IBAN Code            :   PK23 HABB 0001 2879 0158 2203"
How they will pay fee and how will university send them my verification?,"The documents will be verified after receiving fee acknowledgement.

Detail of University Bank Account is:


Name of Bank       :   Habib Bank Limited, Pakistan
Title                       :   Student Dues
Name of Branch   :   Engineering University
Branch Code         :  0128
Swift Code             :   HABBPKKA007
IBAN Code            :   PK23 HABB 0001 2879 0158 2203"
How to send verified degree/DMC to any university/institution abroad in a sealed envelope directly by UET?,Apply in Examinations Branch and get your documents sealed in official envelop. 
When convocation is being held this year?,"There is not fixed time for convocation ceremony. However, convocation is held usually at the end of each year."
Who can attend convocation?,Graduating students can attend convocation. The details are advertised before commencement of convocation.
From where I can get entry pass for convocation?,Entry pass can be obtained from concerned department one day before convocation.
Can I receive my degree on convocation?,Students can receive degree on convocation day.
Can my parents attend convocation?,Parents of Gold Medalists and Ph.D scholars can attend convocation
"I have lost my LMS password, how can I reset it?","You can reset your password by visiting lms.uet.edu.pk , click on sign in and then click on reset password. Alternately, you can contact your department LMS coordinator to change/reset your password."
Who can provide me LMS password?,You can contact your department LMS coordinator to change/reset your password.
My LMS account is not logging in?,You can contact your department LMS coordinator to change/reset your password.
Why My LMS account is blocked?,Contact examinations branch if your LMS account is blocked. 
How many days will it take to notify my thesis?,"After receiving thesis from ORIC, the examinations branch usually takes 2 to 3 days to notify thesis, however, the requirement for PhD thesis are different."
Is there any other option to complete degree other than thesis?,Students can opt design project with 30 credit hours course work if approved by department.
How many credit hours are for thesis in MSc/MS/M. Phil?,30 credit hours are required for the award of MSc/MS/M. Phil degree with other conditions
How many credit hours are for thesis in PhD?,"60 credit hours are required for PhD degree, 42 credit hours for thesis and 18 credit hours for course work. Duration is minimum 3 years."
Do I have to register thesis on LMS?,Department registers thesis on LMS.
How can I get postgraduate diploma if I have not cleared thesis?,"If you have completed course work but thesis is not cleared, you can apply for Postgraduate diploma in examination branch."
What documents to attach with thesis Performa?,"Normally we attach copy of DMC, copy of proposal and a form with teacher comments about your research work. To get further information about it contact with their department.  "
What extra documents are required for degree/DMC for affiliated colleges students?,Degree/DMC covering letter is extra requirement with other documents for affiliated colleges students.
Who can sign degree completion form for affiliated colleges students?,Controller/Principal/HOD can sign degree completion for affiliated colleges students.
Who will clear my dues from college?,Departmental LMS coordinator will clear dues from college. 
Who will make my departmental LMS clearance from college?,Departmental LMS coordinator will make  LMS clearance from college. 
Where is the admin block? ,"Near HBL, UET Branch also it is near to VS office. "
How can we use central library? ,Library will issue library card then you can use.
Is University transportation facility available?  ,Yes. University provide transportation facility. 
Can we unregister to register subject?,"Yes, you can."
Can we migrate from UET? ,Yes
Can we freeze semester?,"yes, you can freeze your smester. "
Can I choose my supervisor myself?,"Allocate by the department firstly, but you have option to change."
Will we pay fee if we freeze to semester?,Yes. You will pay fee even you freeze to semester. 
 For how many times we can freeze semester?,Contact to examination branch.  
Can we complete degree without thesis? ,No
Can we take additional courses instead of thesis? ,No
How we can change our supervisor? ,Write a handwritten application to HOD. 
Why conduct to PGRC? ,To evaluate and prove the post graduate cases. 
After how many days PGRC meeting is held?,Approximately once time in a month  
Is PGRC meetings held separately for CS and CE?,Yes
What’s stands for PGRC? ,Post Graduate Research Committee. 
Who is chairperson of CS department?,At present (2019) the chairperson of CS department is Prof. Dr. Shazia Arshad 
Is CS and CE separate departments?,Yes
Who is chairperson of CE department?,At present (2019) the chairperson of CE department is Prof. Dr Irfan-Ullah CH.
How many times a PGRC conducted in a month?,Only once time. 
Who leads to PGRC?,"Dean, HOD and department faculty. "
Can I use UET transport without paying?,NO
Can clearance process do any other person?,APROXIMATELHY NOT
Can my degree receive any person without me?,"Yes, but with authority latter"
Where is the girls common room in CS department? ,"In CS building, ground floor."
Where is the boys common room in CS department? ,In CS building ground floor.
Where is the research lab in CS department?,In CS building near faculty Room on first floor
Does anyone can use research lab? ,Just Ph.D. and MS Researchers 
Is there any research lab in CS department?,Yes! In CS building near faculty Room on first floor
Where is auditorium buildings?,Near to CE building. 
Where is the lecture theatre?,Near to CS building. 
Is IBM a Govt. institution? ,"No, IBM is private institute. "
What stands for IBM? ,Information Business Management
Where we can complain in UET against any violation?,In Security Office or in DSA office. 
 Can we complain against food rules?,"Yes,  you can complain to concerned authorities to improve food quality. "
Do there exists any disciplines against food quality?,Yes!
Where we can contact to resolve LMS problems?,Department LMS coordinator or Visit to Examination branch. 
What stands for LMS?,Learning Management Systems
How can we register maximum subjects in MS?,You can register only 3 subjects of 9 credits hours.  
How we can generate online transcript? ,You can generate online transcript using their LMS account.
Where is the security office? ,Near to Junaid Jamshed stadium/ Bhola Canteen. 
How many minimum subjects can we register in MS? ,You can register minimum ONE subject. 
Where is ATM in UET? ,Near National Library and in Boys SSC. 
How we can use National Library?,After issuing Library Card
How our registration number and sections are allocated? ,According the policy of dept.
Can we take back our original documents if needed? ,"Yes, but on showing of documents submission slip"
Is it compulsory to submit original documents during admission? ,Yes
Can we avail any help from UET dispensary? ,Yes
Where is the N1 classroom?,In lecture theater on ground floor. 
Where is the N2 classroom?,In lecture theater on ground floor. 
Where is the N3 classroom?,In lecture theater on ground floor. 
Where is the N4 classroom?,In lecture theater on ground floor. 
Where is the N5 classroom?,In lecture theater on ground floor. 
Where is the N6 classroom?,In lecture theater on ground floor. 
Where is the N7 classroom?,In lecture theater on first floor. 
Where is the N8 classroom?,In lecture theater on first floor. 
Where is the N9 classroom?,In lecture theater on first floor. 
Where is the N10 classroom?,In lecture theater on first floor. 
Where is the N11 classroom?,In lecture theater on first floor. 
Where is the N12 classroom?,In lecture theater on first floor. 
How many campuses of UET?,"I.	Faisalabad Campus.
II.	Kala Shah Kaku (KSK) Campus.
III.	Rachna College of Engineering and Technology, Gujranwala.
IV.	Narowal Campus."
"2)	How many departments at UET Lahore Campus? ","1.	Faculty of Electrical Engineering:
i.	Department of Electrical Engineering.
ii.	Department of Computer Science and Engineering.
2.	Faculty of Mechanical Engineering
i.	Department of Mechanical Engineering.
ii.	Department of Industrial and Manufacturing Engineering.
iii.	Department of Mechatronics and Control Engineering.
3.	Faculty of Civil Engineering.
i.	Department of Civil Engineering.
ii.	Department of Transportation Engineering and Management.
iii.	Department of Environmental Engineering and Research.
iv.	Department of Architectural Engineering and Design.
4.	Faculty of Chemical Engineering.
i.	Department of Chemical Engineering.
ii.	Department of Polymer and Process Engineering.
iii.	Department of Metallurgical and Material Engineering.
5.	Faculty of Earth Sciences and Engineering.
i.	Department of Mining Engineering.
ii.	Department of Geological Engineering.
iii.	Department of Petroleum and Gas Engineering.
6.	Faculty of Architecture and Planning.
i.	Department of Architecture.
ii.	Department of Product and Industrial Design.
iii.	Department of City and Regional Planning.
7.	Faculty of Natural Sciences, Humanities and Islamic Studies.
i.	Department of Physics.
ii.	Department of Mathematics.
iii.	Department of Chemistry.
iv.	Department of Humanities, Management and Social Sciences.
v.	Department of Islamic Studies.
vi.	Institute OF Business and Management (IB&M)"
Which degrees are being offered by UET Lahore campus?,"1.	Faculty of Electrical Engineering:
i.	Department of Electrical Engineering.
ii.	Department of Computer Science and Engineering.
2.	Faculty of Mechanical Engineering
i.	Department of Mechanical Engineering.
ii.	Department of Industrial and Manufacturing Engineering.
iii.	Department of Mechatronics and Control Engineering.
3.	Faculty of Civil Engineering.
i.	Department of Civil Engineering.
ii.	Department of Transportation Engineering and Management.
iii.	Department of Environmental Engineering and Research.
iv.	Department of Architectural Engineering and Design.
4.	Faculty of Chemical Engineering.
i.	Department of Chemical Engineering.
ii.	Department of Polymer and Process Engineering.
iii.	Department of Metallurgical and Material Engineering.
5.	Faculty of Earth Sciences and Engineering.
i.	Department of Mining Engineering.
ii.	Department of Geological Engineering.
iii.	Department of Petroleum and Gas Engineering.
6.	Faculty of Architecture and Planning.
i.	Department of Architecture.
ii.	Department of Product and Industrial Design.
iii.	Department of City and Regional Planning.
7.	Faculty of Natural Sciences, Humanities and Islamic Studies.
i.	Department of Physics.
ii.	Department of Mathematics.
iii.	Department of Chemistry.
iv.	Department of Humanities, Management and Social Sciences.
v.	Department of Islamic Studies.
vi.	Institute OF Business and Management (IB&M)"
How many departments at UET KSK Campus? ,"1.	Department of Electrical, Electronics and Telecommunication Engineering.
2.	Department of Bio-Medical Engineering
3.	Department of Mechanical, Mechatronics and Manufacturing Engineering.
4.	Department of Chemical, Polymer and Composite Material Engineering.
5.	Department of Basic Science and Humanities. "
Which degrees are being offered by UET KSK campus?,"1.	Department of Electrical, Electronics and Telecommunication Engineering.
2.	Department of Bio-Medical Engineering
3.	Department of Mechanical, Mechatronics and Manufacturing Engineering.
4.	Department of Chemical, Polymer and Composite Material Engineering.
5.	Department of Basic Science and Humanities. "
How many departments at UET Narowal Campus? ,"1.	Department of Electrical Engineering.
2.	Department of Computer Science and Engineering.
3.	Department of Mechanical Engineering
4.	Department of Civil Engineering.
5.	Department of Bio-Medical Engineering."
Which degrees are being offered by UET Narowal campus?,"1.	Department of Electrical Engineering.
2.	Department of Computer Science and Engineering.
3.	Department of Mechanical Engineering
4.	Department of Civil Engineering.
5.	Department of Bio-Medical Engineering."
How many total seats for undergraduate programs?,Number of available seats for undergraduate students are almost 3000. Which can be changed with respect to time.
How many total seats for B.Sc Electrical Engineering Department Lahore campus?,Number of available seats for B.Sc Electrical Engineering Department are almost 201. Which can be changed with respect to time.
How many open merit seats at UET Lahore campus or any other campus?,"Kindly visit to Prospectus. https://uet.edu.pk/admission/admissioninfo/images/uet_prospectus_2017.pdf
Note: Must replace year in URL with current year i.e will replace 2017 with current year if you want to updated prospects."
How many reserved Seats at UET Lahore?,"Kindly visit to Prospectus. https://uet.edu.pk/admission/admissioninfo/images/uet_prospectus_2017.pdf
Note: Must replace year in URL with current year i.e will replace 2017 with current year if you want to updated prospects."
What are reserved Categories at UET Lahore?,"Kindly visit to Prospectus. https://uet.edu.pk/admission/admissioninfo/images/uet_prospectus_2017.pdf
Note: Must replace year in URL with current year i.e will replace 2017 with current year if you want to updated prospects."
How many total seats for B.Sc Computer Engineering Department Lahore campus?,Number of available seats for B.Sc Computer Engineering Department are almost 40. Which can be changed with respect to time.
How many total seats for B.Sc Computer Science Department Lahore campus?,: Number of available seats for B.Sc Computer Science Department are almost157. Which can be changed with respect to time.
How many total seats for B.Sc Machinal Engineering Department Lahore campus?,Number of available seats for B.Sc Machinal Engineering Department are almost196. Which can be changed with respect to time.
How many total seats for B.Sc Mechatronics Engineering Department Lahore campus?,Number of available seats for B.Sc Mechatronics Engineering Department are almost 80. Which can be changed with respect to time.
How many total seats for B.Sc Electrical Engineering Department Lahore campus?,Number of available seats for B.Sc Electrical Engineering Department are almost 201. Which can be changed with respect to time.
How many total seats for B.Sc Industrial and Manufacturing Engineering Department Lahore campus?,Number of available seats for B.Sc Industrial and Manufacturing Engineering Department are almost 49. Which can be changed with respect to time.
How many total seats for B.Sc Civil Engineering Department Lahore campus?,Number of available seats for B.Sc Civil Engineering Department are almost 198. Which can be changed with respect to time.
How many total seats for B.Sc Architectural Engineering Department Lahore campus?,Number of available seats for B.Sc Architectural Engineering Department are almost 51. Which can be changed with respect to time.
How many total seats for B.Sc Transportation Engineering Department Lahore campus?,Number of available seats for B.Sc Transportation Engineering Department are almost 40. Which can be changed with respect to time.
How many total seats for B.Sc Environmental Engineering Department Lahore campus?,Number of available seats for B.Sc Environmental Engineering Department are almost50. Which can be changed with respect to time.
How many total seats for B.Sc Chemical Engineering Department Lahore campus?,Number of available seats for B.Sc Chemical Engineering Department are almost 91. Which can be changed with respect to time.
How many total seats for B.Sc Polymer Engineering Department Lahore campus?,Number of available seats for B.Sc Polymer Engineering Department are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Metallurgical and Material Engineering Department Lahore campus?,Number of available seats for B.Sc Metallurgical and Material Engineering Department are almost 47. Which can be changed with respect to time.
How many total seats for B.Sc Petroleum Engineering Department Lahore campus?,Number of available seats for B.Sc Petroleum Engineering Department are almost 45. Which can be changed with respect to time.
How many total seats for B.Sc Mining Engineering Department Lahore campus?,Number of available seats for B.Sc Mining Engineering Department are almost 45. Which can be changed with respect to time.
How many total seats for B.Sc Geological Engineering Department Lahore campus?,Number of available seats for B.Sc Geological Engineering Department are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Department of Architectural Lahore campus?,Number of available seats for B.Sc Department of Architectural are almost 50. Which can be changed with respect to time.
How many total seats for B.Sc Product and Industrial Design Department Lahore campus?,Number of available seats for B.Sc Product and Industrial Design Department are almost 52. Which can be changed with respect to time.
How many total seats for B.Sc City and regional Plaining Department Lahore campus?,"Number of available seats for B.Sc City and regional Plaining Department are almost 48. Which can be changed with respect to time.
Not written about math physics etc.
Also, must write about Narowal and KSK campuses degree seats same as for Lahore campus done."
